,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class,is_duplicate
0,5.1,3.5,1.4,0.2,Iris-setossa,False
1,4.9,3.0,1.4,0.2,Iris-setossa,False
2,4.7,3.2,1.3,0.2,Iris-setossa,False
3,4.6,3.1,1.5,0.2,Iris-setossa,False
4,5.0,3.6,1.4,0.2,Iris-setossa,False
5,5.4,3.9,1.7,0.4,Iris-setossa,False
6,4.6,3.4,1.4,0.3,Iris-setossa,False
7,5.0,3.4,1.5,1.2365517241379318,Iris-setossa,False
8,4.4,2.9,1.4,1.2365517241379318,Iris-setossa,False
9,4.9,3.1,1.5,1.2365517241379318,Iris-setossa,False
10,5.4,3.7,1.5,1.2365517241379318,Iris-setossa,False
11,4.8,3.4,1.6,1.2365517241379318,Iris-setossa,False
12,4.8,3.0,1.4,0.1,Iris-setossa,False
13,5.7,3.0,1.1,0.1,Iris-setossa,False
14,5.8,4.0,1.2,0.2,Iris-setossa,False
15,5.7,4.4,1.5,0.4,Iris-setossa,False
16,5.4,3.9,1.3,0.4,Iris-setossa,False
17,5.1,3.5,1.4,0.3,Iris-setossa,False
18,5.7,3.8,1.7,0.3,Iris-setossa,False
19,5.1,3.8,1.5,0.3,Iris-setossa,False
20,5.4,3.4,1.7,0.2,Iris-setossa,False
21,5.1,3.7,1.5,0.4,Iris-setossa,False
22,4.6,3.6,1.0,0.2,Iris-setossa,False
23,5.1,3.3,1.7,0.5,Iris-setossa,False
24,4.8,3.4,1.9,0.2,Iris-setossa,False
25,5.0,3.0,1.6,0.2,Iris-setossa,False
26,5.0,3.4,1.6,0.4,Iris-setossa,False
27,5.2,3.5,1.5,0.2,Iris-setossa,False
28,5.2,3.4,1.4,0.2,Iris-setossa,False
29,4.7,3.2,1.6,0.2,Iris-setossa,False
30,4.8,3.1,1.6,0.2,Iris-setossa,False
31,5.4,3.4,1.5,0.4,Iris-setossa,False
32,5.2,4.1,1.5,0.1,Iris-setossa,False
33,5.5,4.2,1.4,0.2,Iris-setossa,False
34,4.9,3.1,1.5,0.1,Iris-setossa,False
35,5.0,3.2,1.2,0.2,Iris-setossa,False
36,5.5,3.5,1.3,0.2,Iris-setossa,False
38,4.4,3.0,1.3,0.2,Iris-setossa,False
39,5.1,3.4,1.5,0.2,Iris-setossa,False
40,5.0,3.5,1.3,0.3,Iris-setossa,False
41,4.5,2.3,1.3,0.3,Iris-setossa,False
